"GeoUID","CMA_UID","CD_UID","CCS_UID","CSD_UID","Population2016","Region_name","freeman_cma_gentrifiable","freeman_cma_gentrified","freeman_cd_gentrifiable","freeman_cd_gentrified","freeman_ccs_gentrifiable","freeman_ccs_gentrified","ding_cma_gentrifiable","ding_cma_gentrified","ding_cma_gentrified_category","ding_cd_gentrifiable","ding_cd_gentrified","ding_cd_gentrified_category","ding_ccs_gentrifiable","ding_ccs_gentrified","ding_ccs_gentrified_category","grube_cma_gentrifiable","grube_cma_gentrified","grube_cd_gentrifiable","grube_cd_gentrified","grube_ccs_gentrifiable","grube_ccs_gentrified","steinmetz_cma_gentrifiable","steinmetz_cma_gentrified","steinmetz_cd_gentrifiable","steinmetz_cd_gentrified","steinmetz_ccs_gentrifiable","steinmetz_ccs_gentrified"
"9350123.01","59935","5917","5917021","5917021",2591,"Saanich",1,0,1,0,1,0,1,0,,1,0,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9250011.00","59925","5933","5933044","5933042",1696,"Kamloops",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"9250012.00","59925","5933","5933044","5933042",4269,"Kamloops",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"8250017.01","48825","4806","4806016","4806016",5272,"Calgary",1,1,1,1,1,1,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,1,0,1,0,1,0
"9250013.00","59925","5933","5933044","5933042",3766,"Kamloops",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"9250014.00","59925","5933","5933044","5933042",2944,"Kamloops",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,1,1,1,1,1
"9250015.00","59925","5933","5933044","5933042",4578,"Kamloops",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"9250017.00","59925","5933","5933044","5933042",4672,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350516.03","35535","3521","3521010","3521005",5715,"Mississauga",0,0,1,0,1,0,0,0,,1,0,,1,0,,1,0,0,0,1,0,0,0,0,0,0,0
"9250018.00","59925","5933","5933044","5933042",6083,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350810.02","35535","3518","3518009","3518005",2404,"Ajax",0,0,1,0,1,0,0,0,,1,0,,1,1,"intense",1,0,1,0,1,0,0,0,0,0,0,0
"9250019.00","59925","5933","5933044","5933042",4343,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5950009.01","35595","3558","3558004","3558004",3007,"Thunder Bay",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9250020.00","59925","5933","5933044","5933042",4190,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350810.01","35535","3518","3518009","3518005",3888,"Ajax",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5950009.02","35595","3558","3558004","3558004",4854,"Thunder Bay",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5370072.02","35537","3525","3525005","3525005",3993,"Hamilton",1,0,0,0,0,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"5370072.03","35537","3525","3525005","3525005",6550,"Hamilton",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,0,0,0,0
"5370072.04","35537","3525","3525005","3525005",3391,"Hamilton",1,0,0,0,0,0,1,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5950010.01","35595","3558","3558004","3558004",1335,"Thunder Bay",0,0,0,0,0,0,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,0,0,0,0,0,0
"5350271.02","35535","3520","3520005","3520005",4815,"Toronto",1,0,0,0,0,0,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5370001.02","35537","3525","3525005","3525005",5302,"Hamilton",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350272.01","35535","3520","3520005","3520005",5987,"Toronto",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,0,0,0,0
"5350810.03","35535","3518","3518009","3518005",3092,"Ajax",0,0,0,0,1,1,0,0,,0,0,,1,1,"moderate",0,0,0,0,0,0,0,0,0,0,0,0
"5370002.01","35537","3525","3525005","3525005",5122,"Hamilton",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0
"8350166.01","48835","4811","4811034","4811807",30,"Wabamun 133B",,,,,,,1,,,1,,,1,,,1,,1,,1,,0,0,0,0,0,0
"5350810.04","35535","3518","3518009","3518005",5479,"Ajax",0,0,1,0,1,0,0,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,1,0,1,0
"5370001.01","35537","3525","3525005","3525005",2193,"Hamilton",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9330204.01","59933","5915","5915025","5915029",4532,"New Westminster",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"5350570.01","35535","3521","3521010","3521010",3297,"Brampton",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"5350570.02","35535","3521","3521010","3521010",3645,"Brampton",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5350571.01","35535","3521","3521010","3521010",3855,"Brampton",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350571.02","35535","3521","3521010","3521010",3998,"Brampton",0,0,1,0,1,0,0,0,,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0,0,0
"5350291.04","35535","3520","3520005","3520005",1585,"Toronto",0,0,0,0,0,0,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,0,0,0,0,0,0
"5350290.01","35535","3520","3520005","3520005",3620,"Toronto",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"5350575.02","35535","3521","3521010","3521010",4698,"Brampton",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,1,0,1,0
"5350585.02","35535","3521","3521024","3521024",6180,"Caledon",0,0,0,0,0,0,0,0,,0,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5370142.01","35537","3525","3525005","3525005",3898,"Hamilton",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5350585.03","35535","3521","3521024","3521024",5451,"Caledon",0,0,0,0,1,0,0,0,,0,0,,1,0,,1,0,1,0,1,0,0,0,0,0,1,0
"5350800.01","35535","3518","3518001","3518001",3107,"Pickering",0,0,0,0,0,0,1,1,"moderate",1,1,"moderate",1,0,,1,0,1,0,1,0,0,0,0,0,1,0
"5950011.01","35595","3558","3558004","3558004",1242,"Thunder Bay",0,0,0,0,0,0,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,0,0,0,0,0,0
